Nombre,Ãšltimo,% Dif.
ACCIONA,"190,4000","1,82"
ACERINOX,"9,5680","2,00"
ACS,"23,9000","1,49"
AENA,"145,1000","1,65"
ALMIRALL,"12,0500","-0,17"
AMADEUS,"56,7800","0,60"
ARCELORMIT.,"28,3400","2,29"
B.SANTANDER,"3,1400","3,31"
BA.SABADELL,"0,7432","4,38"
BANKINTER,"5,4420","3,50"
BBVA,"4,9675","2,52"
CAIXABANK,"3,2410","2,95"
CELLNEX,"45,2000","-0,13"
CIE AUTOMOT.,"19,5400","1,30"
ENAGAS,"20,9900","0,96"
ENDESA,"19,8750","0,28"
FERROVIAL,"24,4900","0,62"
FLUIDRA,"25,9200","2,78"
GRIFOLS CL.A,"16,2900","-1,12"
IAG,"1,6090","1,19"
IBERDROLA,"10,7650","2,57"
INDITEX,"20,0800","0,40"
INDRA A,"9,3050","0,76"
INM.COLONIAL,"8,2600","0,36"
MAPFRE,"1,8980","1,33"
MELIA HOTELS,"6,3300","1,28"
MERLIN,"10,6500","2,01"
NATURGY,"29,0000","1,22"
PHARMA MAR,"75,3000","-0,34"
R.E.C.,"19,4350","1,44"
REPSOL,"12,6500","3,52"
ROVI,"69,8500","0,58"
SIEMENS GAME,"16,2750","2,91"
SOLARIA,"22,9000","1,64"
TELEFONICA,"4,6220","1,58"
